Date,Month,type,Holiday_Name,Average of Temp,Average of total_precip,rain_avg_year,Average of Sun,sun_avg_year,number_of_visitors
1/1/2016,1,Bar/Cocktail,New Year's Day,16.38,2.86,4.31,4.57,4.63,136
1/1/2016,1,Cafe/Sweets,New Year's Day,16.38,2.86,4.31,4.57,4.63,266
1/1/2016,1,Creative cuisine,New Year's Day,16.38,2.86,4.31,4.57,4.63,7
1/1/2016,1,Dining bar,New Year's Day,16.38,2.86,4.31,4.57,4.63,106
1/1/2016,1,Italian/French,New Year's Day,16.38,2.86,4.31,4.57,4.63,23
1/1/2016,1,Izakaya,New Year's Day,16.38,2.86,4.31,4.57,4.63,424
1/1/2016,1,Japanese food,New Year's Day,16.38,2.86,4.31,4.57,4.63,10
1/1/2016,1,Other,New Year's Day,16.38,2.86,4.31,4.57,4.63,18
1/1/2016,1,Western food,New Year's Day,16.38,2.86,4.31,4.57,4.63,43
1/2/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,140
1/2/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,407
1/2/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,222
1/2/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,216
1/2/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,558
1/2/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,38
1/2/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,58
1/2/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,24
1/2/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,41
1/2/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,60
1/3/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,299
1/3/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,501
1/3/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,29
1/3/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,286
1/3/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,202
1/3/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,733
1/3/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,108
1/3/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,67
1/3/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,19
1/3/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,62
1/3/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,62
1/4/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,162
1/4/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,678
1/4/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,68
1/4/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,447
1/4/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,441
1/4/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,1191
1/4/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,82
1/4/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,66
1/4/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,48
1/4/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,30
1/4/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,113
1/5/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,300
1/5/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,866
1/5/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,51
1/5/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,417
1/5/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,470
1/5/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,1147
1/5/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,348
1/5/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,76
1/5/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,131
1/5/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,31
1/5/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,90
1/6/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,261
1/6/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,958
1/6/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,32
1/6/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,392
1/6/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,519
1/6/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,1335
1/6/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,317
1/6/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,27
1/6/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,113
1/6/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,68
1/6/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,132
1/7/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,284
1/7/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,1029
1/7/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,38
1/7/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,343
1/7/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,502
1/7/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,1321
1/7/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,437
1/7/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,73
1/7/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,191
1/7/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,111
1/7/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,102
1/8/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,410
1/8/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,1068
1/8/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,42
1/8/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,679
1/8/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,753
1/8/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,1961
1/8/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,563
1/8/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,96
1/8/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,221
1/8/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,148
1/8/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,174
1/9/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,621
1/9/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,1765
1/9/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,77
1/9/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,798
1/9/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,731
1/9/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,2181
1/9/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,506
1/9/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,113
1/9/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,185
1/9/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,179
1/9/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,150
1/10/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,522
1/10/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,1584
1/10/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,50
1/10/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,723
1/10/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,618
1/10/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,1657
1/10/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,409
1/10/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,57
1/10/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,175
1/10/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,135
1/10/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,136
1/11/2016,1,Bar/Cocktail,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,581
1/11/2016,1,Cafe/Sweets,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,1135
1/11/2016,1,Creative cuisine,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,49
1/11/2016,1,Dining bar,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,585
1/11/2016,1,Italian/French,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,434
1/11/2016,1,Izakaya,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,1051
1/11/2016,1,Japanese food,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,166
1/11/2016,1,Okonomiyaki/Monja/Teppanyaki,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,86
1/11/2016,1,Other,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,186
1/11/2016,1,Western food,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,113
1/11/2016,1,Yakiniku/Korean food,Coming of Age Day,16.38,2.86,4.31,4.57,4.63,83
1/12/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,310
1/12/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,821
1/12/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,16
1/12/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,365
1/12/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,509
1/12/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,1283
1/12/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,346
1/12/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,50
1/12/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,89
1/12/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,83
1/12/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,109
1/13/2016,1,Bar/Cocktail,Normal_day,1.09,2.01,3.03,3.99,3.43,357
1/13/2016,1,Cafe/Sweets,Normal_day,1.09,2.01,3.03,3.99,3.43,981
1/13/2016,1,Creative cuisine,Normal_day,1.09,2.01,3.03,3.99,3.43,43
1/13/2016,1,Dining bar,Normal_day,1.09,2.01,3.03,3.99,3.43,502
1/13/2016,1,Italian/French,Normal_day,1.09,2.01,3.03,3.99,3.43,718
1/13/2016,1,Izakaya,Normal_day,1.09,2.01,3.03,3.99,3.43,1352
1/13/2016,1,Japanese food,Normal_day,1.09,2.01,3.03,3.99,3.43,383
1/13/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,1.09,2.01,3.03,3.99,3.43,52
1/13/2016,1,Other,Normal_day,1.09,2.01,3.03,3.99,3.43,150
1/13/2016,1,Western food,Normal_day,1.09,2.01,3.03,3.99,3.43,136
1/13/2016,1,Yakiniku/Korean food,Normal_day,1.09,2.01,3.03,3.99,3.43,174
1/14/2016,1,Bar/Cocktail,Normal_day,1.55,2.92,3.02,3.93,3.43,333
1/14/2016,1,Cafe/Sweets,Normal_day,1.55,2.92,3.02,3.93,3.43,1453
1/14/2016,1,Creative cuisine,Normal_day,1.55,2.92,3.02,3.93,3.43,32
1/14/2016,1,Dining bar,Normal_day,1.55,2.92,3.02,3.93,3.43,505
1/14/2016,1,Italian/French,Normal_day,1.55,2.92,3.02,3.93,3.43,541
1/14/2016,1,Izakaya,Normal_day,1.55,2.92,3.02,3.93,3.43,1393
1/14/2016,1,Japanese food,Normal_day,1.55,2.92,3.02,3.93,3.43,466
1/14/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,1.55,2.92,3.02,3.93,3.43,101
1/14/2016,1,Other,Normal_day,1.55,2.92,3.02,3.93,3.43,203
1/14/2016,1,Western food,Normal_day,1.55,2.92,3.02,3.93,3.43,141
1/14/2016,1,Yakiniku/Korean food,Normal_day,1.55,2.92,3.02,3.93,3.43,101
