Date,Month,type,Holiday_Name,Average of Temp,Average of total_precip,rain_avg_year,Average of Sun,sun_avg_year,number_of_visitors
1/1/2016,1,Bar/Cocktail,New Year's Day,16.38,2.86,4.31,4.57,4.63,15.11
1/1/2016,1,Cafe/Sweets,New Year's Day,16.38,2.86,4.31,4.57,4.63,26.6
1/1/2016,1,Creative cuisine,New Year's Day,16.38,2.86,4.31,4.57,4.63,7
1/1/2016,1,Dining bar,New Year's Day,16.38,2.86,4.31,4.57,4.63,15.14
1/1/2016,1,Italian/French,New Year's Day,16.38,2.86,4.31,4.57,4.63,5.75
1/1/2016,1,Izakaya,New Year's Day,16.38,2.86,4.31,4.57,4.63,38.55
1/1/2016,1,Japanese food,New Year's Day,16.38,2.86,4.31,4.57,4.63,5
1/1/2016,1,Other,New Year's Day,16.38,2.86,4.31,4.57,4.63,9
1/1/2016,1,Western food,New Year's Day,16.38,2.86,4.31,4.57,4.63,21.5
1/2/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,20
1/2/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,29.07
1/2/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,24.67
1/2/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,30.86
1/2/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,34.88
1/2/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,12.67
1/2/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,29
1/2/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,12
1/2/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,41
1/2/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,30
1/3/2016,1,Bar/Cocktail,Normal_day,16.38,2.86,4.31,4.57,4.63,29.9
1/3/2016,1,Cafe/Sweets,Normal_day,16.38,2.86,4.31,4.57,4.63,27.83
1/3/2016,1,Creative cuisine,Normal_day,16.38,2.86,4.31,4.57,4.63,29
1/3/2016,1,Dining bar,Normal_day,16.38,2.86,4.31,4.57,4.63,20.43
1/3/2016,1,Italian/French,Normal_day,16.38,2.86,4.31,4.57,4.63,33.67
1/3/2016,1,Izakaya,Normal_day,16.38,2.86,4.31,4.57,4.63,33.32
1/3/2016,1,Japanese food,Normal_day,16.38,2.86,4.31,4.57,4.63,54
1/3/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,16.38,2.86,4.31,4.57,4.63,33.5
1/3/2016,1,Other,Normal_day,16.38,2.86,4.31,4.57,4.63,9.5
1/3/2016,1,Western food,Normal_day,16.38,2.86,4.31,4.57,4.63,31
1/3/2016,1,Yakiniku/Korean food,Normal_day,16.38,2.86,4.31,4.57,4.63,31
