Date,Holiday_Name
1/1/2018,New Year's Day
2/12/2018,Carnival
2/13/2018,Carnival
3/30/2018,Good Friday
5/1/2018,International Workers' Day
5/24/2018,The Battle of Pichincha
8/10/2018,Declaration of Independence of Quito
10/9/2018,Independence of Guayaquil
11/2/2018,All Souls' Day
11/3/2018,Independence of Cuenca
12/25/2018,Christmas Day
1/1/2020,New Year's Day
2/24/2020,Carnival
2/25/2020,Carnival
4/10/2020,Good Friday
5/1/2020,International Workers' Day
5/24/2020,The Battle of Pichincha
8/10/2020,Declaration of Independence of Quito
10/9/2020,Independence of Guayaquil
11/2/2020,All Souls' Day
11/3/2020,Independence of Cuenca
12/25/2020,Christmas Day
1/1/2017,New Year's Day
2/27/2017,Carnival
2/28/2017,Carnival
4/14/2017,Good Friday
5/1/2017,International Workers' Day
5/24/2017,The Battle of Pichincha
8/10/2017,Declaration of Independence of Quito
10/9/2017,Independence of Guayaquil
11/2/2017,All Souls' Day
11/3/2017,Independence of Cuenca
12/25/2017,Christmas Day
1/1/2021,New Year's Day
2/15/2021,Carnival
2/16/2021,Carnival
4/2/2021,Good Friday
5/1/2021,International Workers' Day
5/24/2021,The Battle of Pichincha
8/10/2021,Declaration of Independence of Quito
10/9/2021,Independence of Guayaquil
11/2/2021,All Souls' Day
11/3/2021,Independence of Cuenca
12/25/2021,Christmas Day
1/1/2019,New Year's Day
1/14/2019,Coming of Age Day
2/11/2019,Foundation Day
4/29/2019,Showa Day
5/3/2019,Constitution Memorial Day
5/4/2019,Greenery Day
5/6/2019,Children's Day
7/15/2019,Marine Day
8/12/2019,Mountain Day
9/16/2019,Respect for the Aged Day
10/14/2019,Health and Sports Day
11/4/2019,Culture Day
11/23/2019,Labour Thanksgiving Day
12/23/2019,The Emperor's Birthday
1/1/2015,New Year's Day
1/12/2015,Coming of Age Day
2/11/2015,Foundation Day
4/29/2015,Showa Day
5/4/2015,Constitution Memorial Day
5/4/2015,Greenery Day
5/5/2015,Children's Day
7/20/2015,Marine Day
8/11/2015,Mountain Day
9/21/2015,Respect for the Aged Day
10/12/2015,Health and Sports Day
11/3/2015,Culture Day
11/23/2015,Labour Thanksgiving Day
12/23/2015,The Emperor's Birthday
1/1/2014,New Year's Day
1/13/2014,Coming of Age Day
2/11/2014,Foundation Day
4/29/2014,Showa Day
5/3/2014,Constitution Memorial Day
5/5/2014,Greenery Day
5/5/2014,Children's Day
7/21/2014,Marine Day
8/11/2014,Mountain Day
9/15/2014,Respect for the Aged Day
10/13/2014,Health and Sports Day
11/3/2014,Culture Day
11/24/2014,Labour Thanksgiving Day
12/23/2014,The Emperor's Birthday
1/1/2001,New Year's Day
1/8/2001,Coming of Age Day
2/12/2001,Foundation Day
4/30/2001,Showa Day
5/3/2001,Constitution Memorial Day
5/4/2001,Greenery Day
5/5/2001,Children's Day
7/16/2001,Marine Day
8/11/2001,Mountain Day
9/17/2001,Respect for the Aged Day
10/8/2001,Health and Sports Day
11/3/2001,Culture Day
11/23/2001,Labour Thanksgiving Day
12/24/2001,The Emperor's Birthday
1/2/2012,New Year's Day
1/9/2012,Coming of Age Day
2/11/2012,Foundation Day
4/30/2012,Showa Day
5/3/2012,Constitution Memorial Day
5/4/2012,Greenery Day
5/5/2012,Children's Day
7/16/2012,Marine Day
8/11/2012,Mountain Day
9/17/2012,Respect for the Aged Day
10/8/2012,Health and Sports Day
11/3/2012,Culture Day
11/23/2012,Labour Thanksgiving Day
12/24/2012,The Emperor's Birthday
1/1/2004,New Year's Day
1/12/2004,Coming of Age Day
2/11/2004,Foundation Day
4/29/2004,Showa Day
5/3/2004,Constitution Memorial Day
5/4/2004,Greenery Day
5/5/2004,Children's Day
7/19/2004,Marine Day
8/11/2004,Mountain Day
9/20/2004,Respect for the Aged Day
10/11/2004,Health and Sports Day
11/3/2004,Culture Day
11/23/2004,Labour Thanksgiving Day
12/23/2004,The Emperor's Birthday
1/1/2009,New Year's Day
1/12/2009,Coming of Age Day
2/11/2009,Foundation Day
4/29/2009,Showa Day
5/4/2009,Constitution Memorial Day
5/4/2009,Greenery Day
5/5/2009,Children's Day
7/20/2009,Marine Day
8/11/2009,Mountain Day
9/21/2009,Respect for the Aged Day
10/12/2009,Health and Sports Day
11/3/2009,Culture Day
11/23/2009,Labour Thanksgiving Day
12/23/2009,The Emperor's Birthday
1/1/2002,New Year's Day
1/14/2002,Coming of Age Day
2/11/2002,Foundation Day
4/29/2002,Showa Day
5/3/2002,Constitution Memorial Day
5/4/2002,Greenery Day
5/6/2002,Children's Day
7/15/2002,Marine Day
8/12/2002,Mountain Day
9/16/2002,Respect for the Aged Day
10/14/2002,Health and Sports Day
11/4/2002,Culture Day
11/23/2002,Labour Thanksgiving Day
12/23/2002,The Emperor's Birthday
1/1/2003,New Year's Day
1/13/2003,Coming of Age Day
2/11/2003,Foundation Day
4/29/2003,Showa Day
5/3/2003,Constitution Memorial Day
5/5/2003,Greenery Day
5/5/2003,Children's Day
7/21/2003,Marine Day
8/11/2003,Mountain Day
9/15/2003,Respect for the Aged Day
10/13/2003,Health and Sports Day
11/3/2003,Culture Day
11/24/2003,Labour Thanksgiving Day
12/23/2003,The Emperor's Birthday
1/1/2007,New Year's Day
1/8/2007,Coming of Age Day
2/12/2007,Foundation Day
4/30/2007,Showa Day
5/3/2007,Constitution Memorial Day
5/4/2007,Greenery Day
5/5/2007,Children's Day
7/16/2007,Marine Day
8/11/2007,Mountain Day
9/17/2007,Respect for the Aged Day
10/8/2007,Health and Sports Day
11/3/2007,Culture Day
11/23/2007,Labour Thanksgiving Day
12/24/2007,The Emperor's Birthday
1/1/2016,New Year's Day
1/11/2016,Coming of Age Day
2/11/2016,Foundation Day
4/29/2016,Showa Day
5/3/2016,Constitution Memorial Day
5/4/2016,Greenery Day
5/5/2016,Children's Day
7/18/2016,Marine Day
8/11/2016,Mountain Day
9/19/2016,Respect for the Aged Day
10/10/2016,Health and Sports Day
11/3/2016,Culture Day
11/23/2016,Labour Thanksgiving Day
