Date,Temp,total_precip,rain_avg_year,Sun,sun_avg_year
1/13/2016,1.09,2.01,3.03,3.99,3.43
1/14/2016,1.55,2.92,3.02,3.93,3.43
1/15/2016,0.42,1.4,3.02,4.6,3.42
1/16/2016,0.67,1.68,3.02,5.43,3.42
1/17/2016,1.30,7.9,3.03,2.56,3.43
1/18/2016,2.66,19.2,3.03,1.1,3.43
1/19/2016,1.16,5.22,3.03,2.82,3.44
1/20/2016,1.07,3.9,3.02,3.35,3.46
1/21/2016,1.02,2.78,3.01,3.04,3.47
1/22/2016,1.39,1.94,3,4.21,3.5
1/23/2016,0.47,2.27,2.99,1.53,3.53
1/24/2016,-2.81,4.39,2.98,3.58,3.57
1/25/2016,-2.26,2.36,2.95,4.57,3.61
1/26/2016,0.86,0.7,2.92,3.89,3.66
1/27/2016,2.79,1.62,2.89,4.04,3.7
1/28/2016,3.24,1.88,2.86,3.33,3.75
1/29/2016,3.15,23.62,2.83,0.84,3.8
1/30/2016,2.34,4.36,2.79,2.04,3.84
1/31/2016,2.25,0.86,2.74,5.06,3.88
2/1/2016,1.01,1.68,2.69,1.37,3.93
2/2/2016,0.66,1.54,2.65,4.01,3.97
2/3/2016,0.69,0.57,2.61,4.92,4
2/4/2016,1.96,1.29,2.58,5.73,4.04
2/5/2016,2.75,1.87,2.56,5.12,4.07
2/6/2016,1.26,1.76,2.55,3.12,4.09
2/7/2016,0.03,1.48,2.56,5.75,4.12
2/8/2016,0.71,0.41,2.58,6.88,4.13
2/9/2016,3.21,3.7,2.62,4.39,4.15
2/10/2016,2.34,1.28,2.68,6.14,4.16
2/11/2016,2.65,0.06,2.76,7.77,4.17
2/12/2016,5.47,1.27,2.84,3.86,4.17
2/13/2016,9.89,16.71,2.92,1.14,4.18
2/14/2016,9.62,14.03,3.01,1.33,4.18
2/15/2016,1.55,3.06,3.09,2.28,4.19
2/16/2016,0.28,2.34,3.17,4.59,4.2
2/17/2016,1.26,2.59,3.23,3.92,4.22
2/18/2016,2.58,1.12,3.3,6.95,4.24
2/19/2016,5.75,2.33,3.35,5.44,4.26
2/20/2016,5.79,23.88,3.38,0.84,4.28
2/21/2016,4.56,2.9,3.41,4.74,4.3
2/22/2016,2.79,0.93,3.43,2.8,4.32
2/23/2016,4.12,3.43,3.44,2.2,4.34
2/24/2016,1.09,1.03,3.45,3.83,4.36
2/25/2016,0.00,1.15,3.46,5.33,4.37
2/26/2016,0.85,1.57,3.45,5.87,4.39
2/27/2016,2.74,1.98,3.44,5.11,4.42
2/28/2016,4.42,0.46,3.43,7.87,4.44
2/29/2016,4.11,6.51,3.45,1.52,4.47
3/1/2016,0.47,1.75,3.43,4.77,4.47
3/2/2016,1.62,0.91,3.42,6.68,4.51
3/3/2016,3.88,1.62,3.41,6.78,4.55
3/4/2016,5.15,0.3,3.4,6.91,4.59
3/5/2016,7.29,0.23,3.39,6.78,4.63
3/6/2016,10.62,5.83,3.39,1.71,4.67
3/7/2016,10.90,5.37,3.4,3.65,4.71
3/8/2016,10.09,0.38,3.42,4.17,4.74
3/9/2016,5.71,19.78,3.45,1.33,4.78
3/10/2016,3.75,1.02,3.48,2.56,4.81
3/11/2016,2.80,1.33,3.53,4.33,4.83
3/12/2016,2.68,0.4,3.58,6.56,4.85
3/13/2016,4.25,3.04,3.64,3.47,4.87
3/14/2016,4.90,11.35,3.7,2.45,4.89
3/15/2016,4.72,0.34,3.76,8.11,4.9
3/16/2016,6.58,0.19,3.82,5.74,4.91
3/17/2016,9.49,0.22,3.87,9.89,4.92
3/18/2016,10.86,8.21,3.93,4.16,4.92
3/19/2016,11.10,9.29,3.97,1.61,4.91
3/20/2016,7.48,0.27,4,6.17,4.91
3/21/2016,5.62,0.31,4.03,7.62,4.9
3/22/2016,6.88,1.16,4.04,8.55,4.9
3/23/2016,7.30,1.38,4.04,4.56,4.9
3/24/2016,5.18,1.12,4.03,5.14,4.9
3/25/2016,4.15,1.01,4.01,6.68,4.91
3/26/2016,5.01,0.3,3.98,8.36,4.94
3/27/2016,6.66,0.29,3.94,7.48,4.97
3/28/2016,7.58,0.96,3.9,8.21,5.02
3/29/2016,8.52,0.01,3.85,8.02,5.09
3/30/2016,10.62,2.21,3.81,4.29,5.16
3/31/2016,10.32,3.66,3.79,6.85,5.24
4/1/2016,10.12,4.03,3.78,4.71,5.32
4/2/2016,10.95,0.34,3.77,4.87,5.39
4/3/2016,12.88,5.54,3.78,1.42,5.46
4/4/2016,11.21,14.67,3.81,1.83,5.52
4/5/2016,10.39,0.86,3.85,6.62,5.57
4/6/2016,11.45,1.1,3.9,8.22,5.61
4/7/2016,12.38,31.43,3.95,0.88,5.63
4/8/2016,12.20,1.82,4,3.16,5.64
4/9/2016,12.36,1.36,4.05,7.57,5.65
4/10/2016,11.42,1.84,4.09,3.56,5.65
4/11/2016,7.83,1.87,4.13,5.91,5.65
4/12/2016,8.67,0.55,4.16,8.96,5.66
4/13/2016,12.36,12.5,4.19,2.16,5.66
4/14/2016,14.25,6.99,4.21,5.17,5.67
4/15/2016,11.17,1.11,4.23,8.24,5.67
4/16/2016,12.33,1.45,4.24,7.95,5.68
4/17/2016,14.61,13.42,4.24,4.51,5.7
4/18/2016,11.99,1.1,4.25,2.09,5.72
4/19/2016,10.68,0.32,4.24,7.98,5.73
4/20/2016,11.98,0.08,4.23,9.08,5.76
4/21/2016,14.25,23.63,4.21,2.32,5.79
4/22/2016,14.83,1.6,4.18,7.02,5.83
4/23/2016,13.89,3.01,4.15,3.87,5.87
4/24/2016,13.25,3.56,4.11,5.45,5.92
4/25/2016,13.38,1.88,4.08,6.93,5.97
4/26/2016,14.55,0.91,4.06,8,6.01
4/27/2016,13.45,10.99,4.05,4.17,6.05
4/28/2016,12.35,17.19,4.06,1.54,6.08
4/29/2016,10.33,3.69,4.08,5.84,6.09
4/30/2016,11.26,0.51,4.13,8.76,6.1
5/1/2016,13.42,2.08,4.18,7.08,6.09
5/2/2016,14.95,0.06,4.25,7.86,6.07
5/3/2016,17.55,10.89,4.34,4.29,6.04
5/4/2016,17.12,8.12,4.43,7.3,6
5/5/2016,16.26,0.61,4.51,7.27,5.95
5/6/2016,14.98,5.36,4.59,2.48,5.91
5/7/2016,16.19,3.3,4.67,4.3,5.86
5/8/2016,15.98,2.36,4.75,9.44,5.82
5/9/2016,15.45,11.51,4.81,4.2,5.78
5/10/2016,16.39,18.08,4.88,1.05,5.75
5/11/2016,15.08,13.38,4.92,1.01,5.72
5/12/2016,15.18,0.66,4.95,9.43,5.71
5/13/2016,17.40,0.05,4.98,10.54,5.69
5/14/2016,17.25,0.16,4.99,10.09,5.69
5/15/2016,17.35,0.76,4.99,8.12,5.7
5/16/2016,16.67,17.05,4.97,3.51,5.71
5/17/2016,15.28,11.47,4.93,6.4,5.74
5/18/2016,16.59,0.74,4.87,12.05,5.77
5/19/2016,17.55,0.52,4.81,10.72,5.8
5/20/2016,17.90,0.5,4.74,9.3,5.83
5/21/2016,18.27,0.49,4.68,10.11,5.87
5/22/2016,19.12,1.18,4.61,11.71,5.91
5/23/2016,19.59,0.28,4.54,11.11,5.95
5/24/2016,19.75,1.82,4.47,6.48,5.99
5/25/2016,19.38,5.4,4.41,0.84,6.02
5/26/2016,20.95,3.65,4.35,3.57,6.05
5/27/2016,19.33,4.86,4.31,5.52,6.07
5/28/2016,18.04,2.93,4.27,4.46,6.08
5/29/2016,18.23,7.89,4.24,6.49,6.09
5/30/2016,18.08,4.01,4.21,4.8,6.08
5/31/2016,19.00,5.32,4.19,7.18,6.06
6/1/2016,16.75,3.93,4.17,5.4,6.03
6/2/2016,15.45,0.52,4.17,8.74,5.98
6/3/2016,16.15,0.7,4.2,9.15,5.92
6/4/2016,17.30,7.93,4.25,3.73,5.85
6/5/2016,17.13,3.67,4.32,4.69,5.76
6/6/2016,18.12,1.03,4.42,6.75,5.66
6/7/2016,19.03,5.38,4.54,4.52,5.57
6/8/2016,20.04,1.97,4.68,4.53,5.47
6/9/2016,19.83,10.14,4.86,1.75,5.38
6/10/2016,20.41,0.79,5.06,9.54,5.28
6/11/2016,20.87,1.37,5.29,7.95,5.18
6/12/2016,20.41,12.32,5.53,3.78,5.08
6/13/2016,19.19,18.93,5.77,0.75,5
6/14/2016,19.98,2.95,6.03,4.41,4.91
6/15/2016,20.52,1.43,6.29,4.1,4.83
6/16/2016,19.91,15.43,6.57,0.65,4.73
6/17/2016,20.51,8.56,6.84,3.76,4.64
6/18/2016,20.88,0.58,7.1,8.6,4.55
6/19/2016,20.57,14.51,7.35,2.95,4.46
6/20/2016,21.57,19.7,7.58,3.61,4.38
6/21/2016,21.48,16.4,7.78,4,4.3
6/22/2016,21.10,18.89,7.97,2.85,4.24
6/23/2016,20.82,18.36,8.13,3.51,4.18
6/24/2016,20.39,9.97,8.25,1.47,4.15
6/25/2016,20.37,13.48,8.35,0.93,4.12
6/26/2016,19.41,3.01,8.41,5.65,4.12
6/27/2016,19.69,11.29,8.43,6.81,4.14
6/28/2016,19.62,19.32,8.42,2.58,4.16
6/29/2016,21.01,12.46,8.38,4.46,4.19
6/30/2016,21.91,3.91,8.32,3.21,4.23
7/1/2016,23.64,0.81,8.25,8.19,4.27
7/2/2016,24.47,8.1,8.15,3.85,4.31
7/3/2016,24.13,7.16,8.04,4.1,4.34
7/4/2016,22.97,4.11,7.94,5.46,4.37
7/5/2016,22.12,1.34,7.86,6.26,4.38
7/6/2016,22.59,8.36,7.8,5.81,4.39
7/7/2016,23.01,2.7,7.75,7.09,4.4
7/8/2016,22.17,21.62,7.73,2.74,4.4
7/9/2016,22.15,20.47,7.7,1.88,4.4
7/10/2016,23.28,7.05,7.69,5.23,4.41
7/11/2016,23.21,4.94,7.67,6.78,4.43
7/12/2016,23.59,4.27,7.64,6.85,4.46
7/13/2016,23.40,18.54,7.59,2.96,4.5
